"run","tick","GRCount","STCount"
1,1.0,2,2500
1,2.0,2,2500
1,3.0,2,2500
1,4.0,2,2500
1,5.0,2,2500
1,6.0,2,2500
1,7.0,2,2500
1,8.0,2,2500
1,9.0,2,2500
1,10.0,2,2500
1,11.0,2,2500
1,12.0,2,2500
1,13.0,2,2500
1,14.0,2,2500
1,15.0,2,2500
1,16.0,2,2500
1,17.0,2,2500
1,18.0,2,2500
1,19.0,2,2500
1,20.0,2,2500
1,21.0,2,2500
1,22.0,2,2500
1,23.0,2,2500
1,24.0,2,2500
1,25.0,2,2500
1,26.0,2,2500
1,27.0,2,2500
1,28.0,2,2500
1,29.0,2,2500
1,30.0,2,2500
1,31.0,2,2500
1,32.0,2,2500
1,33.0,2,2500
1,34.0,2,2500
1,35.0,2,2500
1,36.0,2,2500
1,37.0,2,2500
1,38.0,2,2500
1,39.0,2,2500
1,40.0,2,2500
1,41.0,5,2500
1,42.0,7,2500
1,43.0,7,2500
1,44.0,7,2500
1,45.0,7,2500
1,46.0,7,2500
1,47.0,7,2500
1,48.0,7,2500
1,49.0,7,2500
1,50.0,10,2500
1,51.0,10,2500
1,52.0,10,2500
1,53.0,13,13077
1,54.0,13,13077
1,55.0,13,13077
1,56.0,12,13077
1,57.0,12,13077
1,58.0,11,13077
1,59.0,16,13077
1,60.0,16,13077
1,61.0,16,13077
1,62.0,23,13077
1,63.0,30,13077
1,64.0,30,13077
1,65.0,30,13077
1,66.0,30,13077
1,67.0,30,13077
1,68.0,30,13077
1,69.0,30,13077
1,70.0,30,13077
1,71.0,30,13077
1,72.0,30,13077
1,73.0,27,13077
1,74.0,27,13077
1,75.0,27,13077
1,76.0,27,13077
1,77.0,27,13077
1,78.0,27,13077
1,79.0,27,13077
1,80.0,27,13077
1,81.0,27,13077
1,82.0,56,13077
1,83.0,56,13077
1,84.0,56,13077
1,85.0,47,13077
1,86.0,47,13077
1,87.0,47,13077
1,88.0,47,13077
1,89.0,47,13077
1,90.0,47,13077
1,91.0,38,13077
1,92.0,38,13077
1,93.0,38,13077
1,94.0,49,13077
1,95.0,49,13077
1,96.0,48,13077
1,97.0,48,13077
1,98.0,48,13077
1,99.0,48,13077
1,100.0,47,13077
1,101.0,47,13077
1,102.0,47,13077
1,103.0,47,13077
1,104.0,46,13077
1,105.0,46,13077
1,106.0,44,13077
1,107.0,41,13077
1,108.0,40,13077
1,109.0,40,13077
1,110.0,40,13077
