"run","tick","GRCount","STCount"
1,1.0,80,2700
1,2.0,80,2700
1,3.0,80,2700
1,4.0,80,2700
1,5.0,80,2700
1,6.0,80,2700
1,7.0,80,2700
1,8.0,80,2700
1,9.0,80,2700
1,10.0,80,2700
1,11.0,80,2700
1,12.0,80,2700
1,13.0,80,2700
1,14.0,80,2700
1,15.0,80,2700
1,16.0,80,2700
1,17.0,80,2700
1,18.0,80,2700
1,19.0,80,2700
1,20.0,80,2700
1,21.0,80,2700
1,22.0,80,2700
1,23.0,80,2700
1,24.0,80,2700
1,25.0,80,2700
1,26.0,80,2700
1,27.0,131,2700
1,28.0,131,2700
1,29.0,218,2700
1,30.0,218,2700
1,31.0,218,2700
1,32.0,218,2700
1,33.0,218,2700
1,34.0,218,2700
1,35.0,378,2700
1,36.0,378,2700
1,37.0,378,2700
1,38.0,488,2700
1,39.0,488,2700
1,40.0,488,2700
1,41.0,488,2700
1,42.0,488,2700
1,43.0,488,2700
1,44.0,488,21600
1,45.0,488,21600
1,46.0,488,21600
1,47.0,488,21600
1,48.0,687,21600
1,49.0,932,21600
1,50.0,932,21600
1,51.0,932,21600
1,52.0,1230,21600
1,53.0,1527,21600
1,54.0,1885,21600
1,55.0,1869,21600
1,56.0,1846,21600
1,57.0,1846,21600
1,58.0,1822,21600
1,59.0,1822,21600
1,60.0,1805,21600
1,61.0,1805,21600
1,62.0,1805,21600
1,63.0,1805,21600
1,64.0,1805,21600
1,65.0,1805,21600
1,66.0,1805,21600
1,67.0,1805,21600
1,68.0,1805,21600
1,69.0,2344,42033
1,70.0,2344,42033
1,71.0,2955,48129
1,72.0,2955,48129
1,73.0,2955,48129
1,74.0,2955,48129
1,75.0,2943,48129
1,76.0,2910,48129
1,77.0,2874,48129
1,78.0,2874,48129
1,79.0,5097,48129
1,80.0,7379,51864
1,81.0,7350,51864
1,82.0,7350,51864
1,83.0,7350,51864
1,84.0,6905,51864
1,85.0,6905,51864
1,86.0,6877,51864
1,87.0,6877,51864
1,88.0,6847,51864
