"run","tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1,1.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,2.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,3.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,4.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,5.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,6.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,7.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,8.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,9.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,10.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,11.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,12.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,13.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,14.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,15.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,16.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,17.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,18.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,19.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,20.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,21.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,22.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,23.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,24.0,0.0,3.75,0.0,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,25.0,1.201923076923077,3.75,1.201923076923077,66.82692307692307,66.82692307692307,66.82692307692307,1.0,0.0
1,26.0,2.1634615384615383,3.75,2.1634615384615383,72.3076923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,27.0,2.1634615384615383,3.75,2.1634615384615383,72.3076923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,28.0,2.7884615384615388,6.442307692307692,2.7884615384615388,72.3076923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,29.0,2.7884615384615388,6.442307692307692,2.7884615384615388,72.3076923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,30.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,31.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,32.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,33.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,34.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
1,35.0,3.75,9.038461538461538,3.75,90.4326923076923,66.82692307692307,66.82692307692307,1.0,0.0
