"run","tick","GRCount","STCount"
1,1.0,6,501
1,2.0,6,501
1,3.0,6,501
1,4.0,6,501
1,5.0,6,501
1,6.0,6,501
1,7.0,6,501
1,8.0,6,501
1,9.0,6,501
1,10.0,6,501
1,11.0,6,501
1,12.0,6,501
1,13.0,6,501
1,14.0,6,501
1,15.0,6,501
1,16.0,6,501
1,17.0,6,501
1,18.0,6,501
1,19.0,6,501
1,20.0,6,501
1,21.0,6,501
1,22.0,6,501
1,23.0,6,501
1,24.0,6,501
1,25.0,6,501
1,26.0,6,501
1,27.0,10,501
1,28.0,10,501
1,29.0,26,501
1,30.0,26,501
1,31.0,26,501
1,32.0,26,501
1,33.0,26,501
1,34.0,26,501
1,35.0,62,501
1,36.0,62,501
1,37.0,62,501
1,38.0,85,501
1,39.0,85,501
1,40.0,85,501
1,41.0,85,501
1,42.0,85,501
1,43.0,85,501
1,44.0,85,501
1,45.0,85,3507
1,46.0,85,3507
1,47.0,85,3507
1,48.0,155,3507
1,49.0,211,3507
1,50.0,211,3507
1,51.0,211,3507
1,52.0,316,3507
1,53.0,370,3507
1,54.0,386,3507
1,55.0,386,3507
1,56.0,386,3507
1,57.0,386,3507
1,58.0,386,3507
1,59.0,386,3507
1,60.0,386,3507
1,61.0,386,3507
1,62.0,386,3507
1,63.0,386,3507
1,64.0,386,3507
1,65.0,386,3507
1,66.0,386,3507
1,67.0,386,3507
1,68.0,386,3507
1,69.0,709,3507
1,70.0,709,3802
1,71.0,974,3802
1,72.0,974,4091
1,73.0,974,4091
1,74.0,974,4091
1,75.0,974,4091
1,76.0,974,4091
1,77.0,974,4091
1,78.0,974,4091
1,79.0,2466,4091
1,80.0,3321,4091
1,81.0,3321,4386
1,82.0,3321,4386
1,83.0,3321,4386
1,84.0,3321,4386
1,85.0,3321,4386
1,86.0,3321,4386
1,87.0,3321,4386
1,88.0,3321,4386
1,89.0,3321,4386
1,90.0,3321,4386
1,91.0,3321,4386
1,92.0,3321,4386
1,93.0,3321,4386
1,94.0,3321,4386
1,95.0,3321,4386
1,96.0,3321,4386
1,97.0,3321,4386
1,98.0,3182,4386
1,99.0,3182,4386
1,100.0,3182,4386
1,101.0,15814,4386
1,102.0,22914,4386
1,103.0,22914,4386
1,104.0,31993,7015
1,105.0,38069,7015
1,106.0,38069,7015
1,107.0,38069,7015
1,108.0,38069,7015
1,109.0,38069,7015
1,110.0,38069,7015
1,111.0,38069,7015
1,112.0,38069,7015
1,113.0,47610,7015
1,114.0,49686,7015
1,115.0,49686,7015
1,116.0,49686,7015
1,117.0,48541,7015
1,118.0,48541,7015
1,119.0,48541,7015
1,120.0,48541,7015
1,121.0,48541,7015
1,122.0,48541,7015
1,123.0,48541,7015
1,124.0,48541,7015
1,125.0,48541,7015
1,126.0,48541,7015
1,127.0,48541,7015
1,128.0,48541,7015
1,129.0,48541,7015
1,130.0,48541,7015
1,131.0,48541,7015
1,132.0,48541,7015
1,133.0,48541,7015
1,134.0,48541,7015
1,135.0,48541,7015
1,136.0,48541,7015
1,137.0,48541,7015
1,138.0,48541,7015
1,139.0,48541,7015
1,140.0,48541,7015
1,141.0,48541,7015
1,142.0,48541,7015
1,143.0,48541,7015
1,144.0,48541,7015
1,145.0,48541,7015
1,146.0,48541,7015
1,147.0,48541,7015
1,148.0,48541,7015
1,149.0,48541,7015
1,150.0,48541,7015
1,151.0,48541,7015
1,152.0,48541,7015
1,153.0,48541,7015
1,154.0,48541,7015
1,155.0,48541,7015
1,156.0,48541,7015
1,157.0,48541,7015
1,158.0,48541,7015
1,159.0,48541,7015
1,160.0,48541,7015
1,161.0,48541,7015
1,162.0,48541,7015
1,163.0,48541,7015
1,164.0,48541,7015
1,165.0,48541,7015
1,166.0,48541,7015
3,1.0,6,501
3,2.0,6,501
3,3.0,6,501
3,4.0,6,501
3,5.0,6,501
3,6.0,6,501
3,7.0,6,501
3,8.0,6,501
3,9.0,6,501
3,10.0,6,501
3,11.0,6,501
3,12.0,6,501
3,13.0,6,501
3,14.0,6,501
3,15.0,6,501
3,16.0,6,501
3,17.0,6,501
3,18.0,6,501
3,19.0,6,501
3,20.0,6,501
3,21.0,6,501
3,22.0,6,501
3,23.0,6,501
3,24.0,6,501
3,25.0,6,501
3,26.0,6,501
3,27.0,6,501
3,28.0,6,501
3,29.0,9,501
3,30.0,9,501
3,31.0,9,501
3,32.0,9,501
3,33.0,9,501
3,34.0,9,501
3,35.0,45,501
3,36.0,45,501
3,37.0,45,501
3,38.0,65,501
3,39.0,65,501
3,40.0,65,501
3,41.0,65,501
3,42.0,65,501
