"tick","GRCount","STCount"
1.0,6,501
2.0,6,501
3.0,6,501
4.0,6,501
5.0,6,501
6.0,6,501
7.0,6,501
8.0,6,501
9.0,6,501
10.0,6,501
11.0,6,501
12.0,6,501
13.0,6,501
14.0,6,501
15.0,6,501
16.0,6,501
17.0,6,501
18.0,6,501
19.0,6,501
20.0,6,501
21.0,6,501
22.0,6,501
23.0,6,501
24.0,6,501
25.0,6,501
26.0,6,501
27.0,6,501
28.0,6,501
29.0,12,501
30.0,12,501
31.0,12,501
32.0,12,501
33.0,12,501
34.0,12,501
35.0,48,501
36.0,48,501
37.0,48,501
38.0,75,501
39.0,75,501
40.0,75,501
41.0,75,501
42.0,75,501
43.0,75,501
44.0,75,501
45.0,75,3507
46.0,75,3507
47.0,75,3507
48.0,94,3507
49.0,109,3507
50.0,109,3507
51.0,109,3507
52.0,109,3507
53.0,109,3507
54.0,109,3507
55.0,109,3507
56.0,109,3507
57.0,109,3507
58.0,109,3507
59.0,109,3507
60.0,109,3507
61.0,216,3507
62.0,281,3507
63.0,306,3507
64.0,306,3507
65.0,306,3507
66.0,306,3507
67.0,306,3507
68.0,306,3507
69.0,618,3507
70.0,618,3789
71.0,532,3507
72.0,532,3507
73.0,532,3507
74.0,532,3507
75.0,532,3507
76.0,532,3507
77.0,532,3507
78.0,532,3507
79.0,532,3507
80.0,532,3507
81.0,532,3507
82.0,532,3507
83.0,532,3507
84.0,532,3507
85.0,532,3507
86.0,532,3507
87.0,493,3507
88.0,493,3507
89.0,493,3507
90.0,493,3507
91.0,493,3507
92.0,493,3507
93.0,493,3507
94.0,493,3507
95.0,493,3507
96.0,493,3507
97.0,493,3507
98.0,321,3507
99.0,321,3507
100.0,321,3507
101.0,442,3507
102.0,442,3507
103.0,442,3507
104.0,273,3507
105.0,273,3507
106.0,273,3507
107.0,273,3507
108.0,273,3507
109.0,273,3507
110.0,273,3507
111.0,273,3507
112.0,273,3507
113.0,273,3507
114.0,273,3507
115.0,273,3507
116.0,273,3507
117.0,273,3507
118.0,273,3507
119.0,273,3507
120.0,82,3507
121.0,82,3507
122.0,82,3507
123.0,82,3507
124.0,82,3507
125.0,82,3507
126.0,82,3507
127.0,82,3507
128.0,82,3507
129.0,82,3507
130.0,82,3507
131.0,82,3507
132.0,82,3507
133.0,82,3507
134.0,82,3507
135.0,82,3507
136.0,82,3507
137.0,82,3507
138.0,82,3507
139.0,82,3507
140.0,82,3507
141.0,82,3507
142.0,82,3507
143.0,82,3507
144.0,82,3507
145.0,82,3507
146.0,82,3507
147.0,82,3507
148.0,82,3507
149.0,82,3507
150.0,82,3507
151.0,82,3507
152.0,82,3507
153.0,82,3507
154.0,82,3507
155.0,82,3507
156.0,82,3507
157.0,82,3507
158.0,82,3507
159.0,82,3507
160.0,82,3507
161.0,82,3507
162.0,82,3507
163.0,82,3507
164.0,82,3507
165.0,82,3507
166.0,82,3507
