"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
2.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
3.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
4.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
5.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
6.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
7.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
8.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
9.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
10.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
11.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
12.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
13.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
14.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
15.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
16.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
17.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
18.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
19.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
20.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
21.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
22.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
23.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
24.0,0.0,62.64423076923077,0.0,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
25.0,21.875,62.64423076923077,21.875,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
26.0,21.875,62.64423076923077,21.875,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
27.0,38.02884615384615,62.64423076923077,38.02884615384615,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
28.0,38.02884615384615,62.64423076923077,38.02884615384615,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
29.0,50.76923076923077,62.64423076923077,50.76923076923077,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
30.0,50.76923076923077,62.64423076923077,50.76923076923077,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
31.0,62.64423076923077,62.64423076923077,62.64423076923077,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
32.0,62.64423076923077,62.64423076923077,62.64423076923077,9.086538461538462,9.086538461538462,9.086538461538462,1.0,0.0
