"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour","pestCount","GRsichtCount","GRertragCount","septoriaCount","STsichtCount","STertragCount"
1.0,5150000.0,0.3883495145631068,0.0,0.0,29.126213592233007,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
2.0,5150000.0,1.1650485436893203,0.0,0.0,63.883495145631066,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
3.0,5150000.0,1.1650485436893203,0.0,0.0,69.12621359223301,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
4.0,5150000.0,1.3592233009708738,0.0,0.0,71.26213592233009,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
5.0,5150000.0,1.3592233009708738,0.0,0.0,71.84466019417476,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
6.0,5150000.0,1.3592233009708738,0.0,0.0,72.03883495145631,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
7.0,5150000.0,1.3592233009708738,0.0,0.0,72.03883495145631,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
8.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
9.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
10.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
11.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
12.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
13.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
14.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
15.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
16.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
17.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
18.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
19.0,5150000.0,1.3592233009708738,0.0,0.0,72.23300970873787,0.0,0.0,1.0,0.0,6,0.0,0.0,501,0.0,0.0
