"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour","AnzahlFungizidanw"
1.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
2.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
3.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
4.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
5.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
6.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
7.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
8.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
9.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
10.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
11.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
12.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
13.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
14.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
15.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
16.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
17.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
18.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
19.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
20.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
21.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
22.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
23.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
24.0,0.0,0.38461538461538464,0.0,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
25.0,0.09615384615384616,0.38461538461538464,0.09615384615384616,58.65384615384615,58.65384615384615,58.65384615384615,3.0,2.0,0.0
26.0,0.19230769230769232,0.38461538461538464,0.19230769230769232,59.32692307692308,58.65384615384615,58.65384615384615,3.0,2.0,0.0
27.0,0.19230769230769232,0.38461538461538464,0.19230769230769232,59.32692307692308,58.65384615384615,58.65384615384615,3.0,2.0,0.0
28.0,0.2884615384615385,0.38461538461538464,0.2884615384615385,59.32692307692308,58.65384615384615,58.65384615384615,3.0,2.0,0.0
29.0,0.2884615384615385,0.38461538461538464,0.2884615384615385,59.32692307692308,58.65384615384615,58.65384615384615,3.0,2.0,0.0
30.0,0.38461538461538464,0.4326923076923077,0.38461538461538464,63.605769230769226,58.65384615384615,58.65384615384615,3.0,2.0,0.0
31.0,0.38461538461538464,0.4326923076923077,0.38461538461538464,63.605769230769226,58.65384615384615,58.65384615384615,3.0,2.0,0.0
