"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
1.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
2.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
3.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
4.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
5.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
6.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
7.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
8.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
9.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
10.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
11.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
12.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
13.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
14.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
15.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
16.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
17.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
18.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
19.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
20.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
21.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
22.0,0.0,1.153846153846154,0.0,23.846153846153847,0.0,0.0
23.0,0.0,1.153846153846154,0.0,23.846153846153847,0.38461538461538464,0.38461538461538464
24.0,0.0,1.153846153846154,0.0,23.846153846153847,0.576923076923077,0.576923076923077
25.0,0.576923076923077,1.153846153846154,0.576923076923077,23.846153846153847,0.7692307692307693,0.7692307692307693
