"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
2.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
3.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
4.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
5.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
6.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
7.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
8.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
9.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
10.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
11.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
12.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
13.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
14.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
15.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
16.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
17.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
18.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
19.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
20.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
21.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
22.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
23.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
24.0,0.0,3.75,0.0,61.58653846153847,61.58653846153847,61.58653846153847,1.0,3.0
